Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_ADDRESS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Endereço)/Estes dados são recolhidos, partilhados ou ambos?/Recolhidos"
